Gene stable ID,Gene stable ID version,Transcript stable ID,Transcript stable ID version,Transcript type
ENSRNOG00000050901,ENSRNOG00000050901.1,ENSRNOT00000048861,ENSRNOT00000048861.1,protein_coding
ENSRNOG00000058825,ENSRNOG00000058825.1,ENSRNOT00000080729,ENSRNOT00000080729.1,snoRNA
ENSRNOG00000050337,ENSRNOG00000050337.1,ENSRNOT00000075257,ENSRNOT00000075257.1,protein_coding
ENSRNOG00000039152,ENSRNOG00000039152.3,ENSRNOT00000059896,ENSRNOT00000059896.3,protein_coding
ENSRNOG00000061597,ENSRNOG00000061597.1,ENSRNOT00000088080,ENSRNOT00000088080.1,protein_coding
ENSRNOG00000059561,ENSRNOG00000059561.1,ENSRNOT00000091243,ENSRNOT00000091243.1,snRNA
ENSRNOG00000057181,ENSRNOG00000057181.1,ENSRNOT00000090452,ENSRNOT00000090452.1,snoRNA
ENSRNOG00000054609,ENSRNOG00000054609.1,ENSRNOT00000078462,ENSRNOT00000078462.1,protein_coding
ENSRNOG00000021992,ENSRNOG00000021992.3,ENSRNOT00000032383,ENSRNOT00000032383.3,protein_coding
ENSRNOG00000054854,ENSRNOG00000054854.1,ENSRNOT00000080741,ENSRNOT00000080741.1,protein_coding
ENSRNOG00000005798,ENSRNOG00000005798.4,ENSRNOT00000007601,ENSRNOT00000007601.4,protein_coding
ENSRNOG00000050352,ENSRNOG00000050352.1,ENSRNOT00000075345,ENSRNOT00000075345.1,miRNA
ENSRNOG00000042916,ENSRNOG00000042916.3,ENSRNOT00000068777,ENSRNOT00000068777.3,protein_coding
ENSRNOG00000016299,ENSRNOG00000016299.3,ENSRNOT00000022255,ENSRNOT00000022255.3,protein_coding
ENSRNOG00000036511,ENSRNOG00000036511.1,ENSRNOT00000054618,ENSRNOT00000054618.1,miRNA
ENSRNOG00000018227,ENSRNOG00000018227.7,ENSRNOT00000067979,ENSRNOT00000067979.3,protein_coding
ENSRNOG00000055643,ENSRNOG00000055643.1,ENSRNOT00000089117,ENSRNOT00000089117.1,snoRNA
ENSRNOG00000009662,ENSRNOG00000009662.6,ENSRNOT00000012951,ENSRNOT00000012951.6,protein_coding
ENSRNOG00000058459,ENSRNOG00000058459.1,ENSRNOT00000091416,ENSRNOT00000091416.1,snoRNA
ENSRNOG00000023269,ENSRNOG00000023269.5,ENSRNOT00000039633,ENSRNOT00000039633.5,pseudogene
ENSRNOG00000037091,ENSRNOG00000037091.3,ENSRNOT00000055904,ENSRNOT00000055904.3,protein_coding
ENSRNOG00000043884,ENSRNOG00000043884.1,ENSRNOT00000069151,ENSRNOT00000069151.1,rRNA
ENSRNOG00000028243,ENSRNOG00000028243.5,ENSRNOT00000038623,ENSRNOT00000038623.5,protein_coding
ENSRNOG00000055288,ENSRNOG00000055288.1,ENSRNOT00000081378,ENSRNOT00000081378.1,snoRNA
ENSRNOG00000005413,ENSRNOG00000005413.5,ENSRNOT00000007771,ENSRNOT00000007771.3,protein_coding
ENSRNOG00000005215,ENSRNOG00000005215.6,ENSRNOT00000006992,ENSRNOT00000006992.6,protein_coding
ENSRNOG00000006583,ENSRNOG00000006583.5,ENSRNOT00000008826,ENSRNOT00000008826.5,protein_coding
ENSRNOG00000047784,ENSRNOG00000047784.1,ENSRNOT00000073778,ENSRNOT00000073778.1,miRNA
ENSRNOG00000041610,ENSRNOG00000041610.1,ENSRNOT00000063363,ENSRNOT00000063363.1,miRNA
ENSRNOG00000049608,ENSRNOG00000049608.1,ENSRNOT00000074739,ENSRNOT00000074739.1,miRNA
